Epsilon,RayleighNumber,ThreeD,nz,nx,ny,Nu_mean,Nu_mean-min,Nu_max-mean,Re,Ma_mean,Ma_mean-min,Ma_max-mean,n_rho_max,n_rho_boundaries
1.00E-07,14.7,0,64,256,0,1.221506588,0.002542130788,0.003308780352,1.264400139,1.98E-05,9.04E-06,1.16E-05,2.998331547,2.999999046
1.00E-07,21.5,0,64,256,0,1.902786416,0.006498497797,0.00831313722,3.961540952,5.17E-05,2.39E-05,3.09E-05,2.998331547,2.999999046
1.00E-07,31.6,0,64,256,0,2.47910437,0.005854696099,0.008788973029,6.291348578,6.83E-05,3.20E-05,4.17E-05,2.998331547,2.999999046
1.00E-07,46.4,0,64,256,0,2.911129938,0.00040315237,0.001175893879,8.465952258,7.67E-05,3.65E-05,4.80E-05,2.998331547,2.999999046
1.00E-07,68.1,0,64,256,0,3.295916252,0.007651977711,0.01414663298,10.88027988,8.28E-05,4.03E-05,5.42E-05,2.998331547,2.999999046
1.00E-07,100,0,64,256,0,3.754718928,0.006606964737,0.01049313101,13.93091904,8.92E-05,4.40E-05,6.04E-05,2.998331547,2.999999046
1.00E-07,147,0,128,512,0,4.320872796,0.03949214295,0.1034817569,17.95845451,9.64E-05,4.88E-05,6.70E-05,2.999593973,3.000003576
1.00E-07,215,0,128,512,0,4.8555197,0.07532732497,0.1566515683,22.60931107,0.000102353068,5.22E-05,7.47E-05,2.999595881,3.000006199
1.00E-07,316,0,128,512,0,5.591510455,0.005975405977,0.01991875906,28.81995042,0.000107524187,5.47E-05,7.41E-05,2.999623775,3.000032663
1.00E-07,464,0,256,1024,0,6.368981006,0.04503309998,0.06002032485,36.98391218,0.0001138539988,5.79E-05,7.69E-05,2.99994421,3.000041723
1.00E-07,681,0,256,1024,0,7.091395343,0.01123281735,0.02679113132,46.7507662,0.0001187876573,5.99E-05,7.97E-05,2.99995327,3.000053644
1.00E-07,1000,0,256,1024,0,7.338560175,0.04243619367,0.04391090945,61.47468639,0.0001338928286,7.86E-05,0.0001184851132,2.99995327,3.000053883
1.00E-07,1470,0,256,1024,0,7.834034168,0.07281895771,0.1711843382,84.72650697,0.0001579091427,0.0001102443517,0.0001704031271,2.999943972,3.0000422
1.00E-07,2150,0,384,768,0,8.961644724,0.09634549938,0.4177965371,118.6218284,0.0001799717484,0.0001271163668,0.0001925209723,2.999977112,2.999997854
1.00E-07,3160,0,384,768,0,10.90338794,0.195835986,0.433351598,176.3207097,0.0002188217199,0.0001573580526,0.0002382259948,2.999980688,2.999994755
1.00E-07,4640,0,384,768,0,13.94321477,2.131820074,6.379911074,228.9001307,0.0002425842828,0.0001812107434,0.0002814766236,2.999956131,3.000004292
1.00E-07,6810,0,384,768,0,14.83401557,0.4708773742,1.581120764,318.2786142,0.0002738605343,0.0002011859263,0.0003079587237,2.999970913,3.000010967
